date,etf,ticker,weight,icc
2026-07-16,MDY,P,0.0070999999999999995,0.0758959741379913
2026-07-16,MDY,OKTA,0.0069,0.0410687289227349
2026-07-16,MDY,MKSI,0.0069,0.0878505381663655
2026-07-16,MDY,XPO,0.0068000000000000005,0.054776800455641
2026-07-16,MDY,WWD,0.0067,0.0454012920363214
2026-07-16,MDY,MTZ,0.0066,0.0666404703322144
2026-07-16,MDY,UTHR,0.006500000000000001,0.0797942586210515
2026-07-16,MDY,ENTG,0.0062,0.0722498499272806
2026-07-16,MDY,USFD,0.0060999999999999995,0.0753552182079532
2026-07-16,MDY,STRL,0.006,0.0841232080623152
2026-07-16,MDY,MTSI,0.0058,0.070253503984933
2026-07-16,MDY,RBA,0.0058,0.0531423505661603
2026-07-16,MDY,BURL,0.005600000000000001,0.0595862127663723
2026-07-16,MDY,RS,0.0053,0.0568823743620129
2026-07-16,MDY,LSCC,0.0053,0.0466785858108432
2026-07-16,MDY,RBC,0.0052,0.0441762398869299
2026-07-16,MDY,SNX,0.0052,0.0945785995201541
2026-07-16,VUG,NVDA,0.131,0.1315388937265645
2026-07-16,VUG,AAPL,0.1231,0.0400786669661726
2026-07-16,VUG,MSFT,0.08990000000000001,0.0701371391971642
2026-07-16,VUG,GOOGL,0.059500000000000004,0.0374616695265542
2026-07-16,VUG,AVGO,0.0516,0.165256090788752
2026-07-16,VUG,AMZN,0.048499999999999995,0.0563757808712136
2026-07-16,VUG,GOOG,0.046799999999999994,0.0371575246559546
2026-07-16,VUG,META,0.0373,0.0523803944436284
2026-07-16,VUG,TSLA,0.0331,0.017919126752418
2026-07-16,VUG,LLY,0.0253,0.0800615890484258
2026-07-16,VUG,AMD,0.023,0.1196162872131638
2026-07-16,VUG,V,0.014499999999999999,0.0555460384344177
2026-07-16,VUG,COST,0.0115,0.0349673417242849
2026-07-16,VUG,LRCX,0.0109,0.0789371339086097
2026-07-16,VUG,MA,0.010700000000000001,0.0633506831728193
2026-07-16,VUG,ORCL,0.010700000000000001,0.1516333783701861
2026-07-16,VUG,NFLX,0.009899999999999999,0.05303110128175
2026-07-16,VUG,PLTR,0.009300000000000001,0.0554812815625825
2026-07-16,VUG,GEV,0.0072,0.0272289715440283
2026-07-16,VUG,SNDK,0.0070999999999999995,0.2062319874758803
2026-07-16,VUG,KLAC,0.006999999999999999,0.0671662664633613
2026-07-16,VUG,PANW,0.0064,0.0120904113104462
2026-07-16,VUG,STX,0.0055000000000000005,0.1458693964647931
2026-07-16,VUG,MCD,0.0054,0.0686726516268937
2026-07-16,VUG,MRVL,0.0051,0.1060606653558074
2026-07-16,VTV,MU,0.0415,0.2654336192377388
2026-07-16,VTV,JPM,0.0287,0.0605525530639261
2026-07-16,VTV,BRK-B,0.0281,0.0402098982593103
2026-07-16,VTV,XOM,0.023,0.0604237105511557
2026-07-16,VTV,JNJ,0.0206,0.0678052749610267
2026-07-16,VTV,WMT,0.019299999999999998,0.0460817480890133
2026-07-16,VTV,INTC,0.0174,0.0601017969792164
2026-07-16,VTV,CSCO,0.0163,0.056388664985051
2026-07-16,VTV,CAT,0.0155,0.068170882061683
2026-07-16,VTV,ABBV,0.0146,0.0922155192214678
2026-07-16,VTV,CVX,0.0131,0.0640694517749455
2026-07-16,VTV,UNH,0.0131,0.0745507255489738
2026-07-16,VTV,PG,0.0127,0.0473749094729866
2026-07-16,VTV,BAC,0.0127,0.0881682574109393
2026-07-16,VTV,HD,0.012,0.0596782526993738
2026-07-16,VTV,MRK,0.0111,0.1833431519822786
2026-07-16,VTV,GS,0.011000000000000001,0.0505110449022853
2026-07-16,VTV,IBM,0.0106,0.0645100065490763
2026-07-16,VTV,PM,0.0105,0.066115460213128
2026-07-16,VTV,KO,0.0103,0.0521763761339049
2026-07-16,VTV,QCOM,0.0102,0.0502699283723456
2026-07-16,VTV,MS,0.009399999999999999,0.0543541446820902
2026-07-16,VTV,RTX,0.0092,0.0481913842279592
2026-07-16,VTV,WFC,0.0091,0.0937920320854145
2026-07-16,VTV,LIN,0.0088,0.0514512572787514
2026-07-16,IWF,NVDA,0.1412,0.1315388937265645
2026-07-16,IWF,AAPL,0.0739,0.0400786669661726
