ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,rank_in_country,ICC,mktcap,name_icc,sector_icc
BEKE,China,17644728320.0,Real Estate,KE Holdings Inc,EQUITY,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),N,nasdaq_trader_symbol_directories,6,0.25009825950344033,17644728320.0,KE Holdings Inc,Real Estate
HTHT,China,16026432512.0,Consumer Cyclical,H World Group Limited,EQUITY,H World Group Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,7,0.2487899167453954,16026432512.0,H World Group Limited,Consumer Cyclical
NIO,China,15735589888.0,Consumer Cyclical,NIO Inc.,EQUITY,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",N,nasdaq_trader_symbol_directories,8,,,,
XPEV,China,15196436480.0,Consumer Cyclical,XPeng Inc.,EQUITY,"XPeng Inc. American depositary shares, each representing two Class A ordinary shares",N,nasdaq_trader_symbol_directories,9,0.08980984561711403,15196436480.0,XPeng Inc.,Consumer Cyclical
TME,China,14575693824.0,Communication Services,Tencent Music Entertainment Gro,EQUITY,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",N,nasdaq_trader_symbol_directories,10,0.2848698335619956,14575693824.0,Tencent Music Entertainment Gro,Communication Services
EC,Colombia,29665695744.0,Energy,Ecopetrol S.A.,EQUITY,Ecopetrol S.A. American Depositary Shares,N,nasdaq_trader_symbol_directories,1,0.07924316313511237,29665695744.0,Ecopetrol S.A.,Energy
GMAB,Denmark,16563307520.0,Healthcare,Genmab A/S,EQUITY,Genmab A/S - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,1,0.16258756827815157,16563307520.0,Genmab A/S,Healthcare
CDLR,Denmark,2483674112.0,Industrials,Cadeler A/S,EQUITY,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),N,nasdaq_trader_symbol_directories,2,,,,
EVAX,Denmark,35445912.0,Healthcare,Evaxion A/S,EQUITY,Evaxion A/S - American Depositary Share,NASDAQ,nasdaq_trader_symbol_directories,3,,,,
NOK,Finland,57667575808.0,Technology,Nokia Corporation Sponsored,EQUITY,Nokia Corporation Sponsored American Depositary Shares,N,nasdaq_trader_symbol_directories,1,0.05516249189691835,57667575808.0,Nokia Corporation Sponsored,Technology
SNY,France,113874755584.0,Healthcare,Sanofi,EQUITY,Sanofi - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,1,0.10797086753426088,113874755584.0,Sanofi,Healthcare
ABVX,France,8959903744.0,Healthcare,Abivax SA,EQUITY,Abivax SA - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,2,,,,
NBTX,France,1634783616.0,Healthcare,Nanobiotix S.A.,EQUITY,Nanobiotix S.A. - ADSs,NASDAQ,nasdaq_trader_symbol_directories,3,0.010819799993928458,1634783616.0,Nanobiotix S.A.,Healthcare
DBVT,France,1144596864.0,Healthcare,DBV Technologies S.A.,EQUITY,DBV Technologies S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,4,,,,
IVA,France,1081845632.0,Healthcare,Inventiva S.A. - American Depos,EQUITY,Inventiva S.A. - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,5,,,,
CRTO,France,922891712.0,Communication Services,Criteo S.A.,EQUITY,Criteo S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,6,0.14650269125277326,922891712.0,Criteo S.A.,Communication Services
HKD,France,531132128.0,Technology,AMTD Digital Inc.,EQUITY,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares),N,nasdaq_trader_symbol_directories,7,,,,
VALN,France,463052000.0,Healthcare,Valneva SE,EQUITY,Valneva SE - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,8,0.09993804834589476,463052000.0,Valneva SE,Healthcare
CLLS,France,393310784.0,Healthcare,Cellectis S.A.,EQUITY,Cellectis S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,9,,,,
IPHA,France,128545984.0,Healthcare,Innate Pharma S.A.,EQUITY,Innate Pharma S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,10,,,,
SAP,Germany,192460701696.0,Technology,SAP  SE,EQUITY,SAP  SE ADS,N,nasdaq_trader_symbol_directories,1,0.09143148732070727,192460701696.0,SAP  SE,Technology
BNTX,Germany,26694461440.0,Healthcare,BioNTech SE,EQUITY,BioNTech SE - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,2,,,,
