date,country,ticker,company,icc,mktcap,source
2026-05-04,Germany,IFNNY,Infineon Technologies AG,0.09022908695925927,86917832704.0,citi_dr_directory
2026-05-04,Germany,MURGY,Munich Re Group,0.10706871770622939,76073345024.0,citi_dr_directory
2026-05-04,Germany,RNMBY,RHEINMETALL,0.10927831042529246,74786177024.0,citi_dr_directory
2026-05-04,Germany,DHLGY,DHL,0.09822627895239627,62220120064.0,builtin_major_adr_universe
2026-05-04,Germany,DB,Deutsche Bank,0.1928476143032748,57815805952.0,builtin_major_adr_universe
2026-05-04,Germany,BASFY,BASF,0.047811977311646256,56879800320.0,builtin_major_adr_universe
2026-05-04,Greece,NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,0.14065505759059438,2031905152.0,nasdaq_trader_symbol_directory
2026-05-04,Greece,TEN,Tsakos Energy Navigation Ltd Common Shares,0.08930392108610652,1289160192.0,nasdaq_trader_symbol_directory
2026-05-04,Greece,ESEA,Euroseas Ltd. - Common Stock,0.1303177951949518,482622272.0,nasdaq_trader_symbol_directory
2026-05-04,Greece,EDRY,EuroDry Ltd. - Common Shares,0.08715732337073184,56394572.0,nasdaq_trader_symbol_directory
2026-05-04,Guernsey,SGHC,Super Group (SGHC) Limited Ordinary Shares,0.0858836512230203,6544029184.0,nasdaq_trader_symbol_directory
2026-05-04,Guernsey,BUR,Burford Capital Limited Ordinary Shares,0.12279197401028352,1151400576.0,nasdaq_trader_symbol_directory
2026-05-04,Hong Kong,SUHJY,Sun Hung Kai Properties Ltd.,0.07366956109023948,51000934400.0,citi_dr_directory
2026-05-04,Hong Kong,SWRAY,Swire Pacific Limited,0.07573906314782708,39689449472.0,citi_dr_directory
2026-05-04,Hong Kong,PUK,Prudential Public Limited Company Common Stock,0.052896716235621866,36588920832.0,nasdaq_trader_symbol_directory
2026-05-04,Hong Kong,TTNDY,Techtronic Industries Company Limited,0.0852053755062957,26649853952.0,citi_dr_directory
2026-05-04,Hong Kong,CLPHY,CLP Holdings Limited,0.05430744142941346,24430778368.0,citi_dr_directory
2026-05-04,Hong Kong,HLDCY,Henderson Land Development Co,0.09862436036041189,19462375424.0,citi_dr_directory
2026-05-04,Hong Kong,LNVGY,Lenovo Group Limited,0.06777637588953903,18431827968.0,citi_dr_directory
2026-05-04,India,HDB,HDFC Bank,0.08441536974880226,127525462016.0,builtin_major_adr_universe
2026-05-04,India,IBN,ICICI Bank,0.08571208641901362,93665755136.0,builtin_major_adr_universe
2026-05-04,India,INFY,Infosys,0.07809493365009768,49535373312.0,builtin_major_adr_universe
2026-05-04,India,WIT,Wipro,0.10622203668147712,21552996352.0,builtin_major_adr_universe
2026-05-04,India,RDY,Dr Reddy's,0.4,11145863168.0,builtin_major_adr_universe
2026-05-04,India,MMYT,MakeMyTrip,0.08125882753587288,4445476864.0,builtin_major_adr_universe
2026-05-04,India,SIFY,Sify,0.026390399378469917,1060656832.0,builtin_major_adr_universe
2026-05-04,Indonesia,PPERY,PT Bank Mandiri (Persero) Tbk,0.4,23823333376.0,citi_dr_directory
2026-05-04,Indonesia,TLK,PT Telekomunikasi Indonesia Tbk,0.13887579351279833,16672171008.0,citi_dr_directory
2026-05-04,Ireland,ETN,"Eaton Corporation, PLC Ordinary Shares",0.06113209277079401,163900522496.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,ACN,Accenture plc Class A Ordinary Shares (Ireland),0.08924213728179786,110852169728.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,TT,Trane Technologies plc,0.05581758169239229,107543486464.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,MDT,Medtronic plc. Ordinary Shares,0.09189947900764006,100528193536.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,JCI,Johnson Controls International plc Ordinary Share,0.06475291965941199,88382349312.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,CRH,CRH PLC Ordinary Shares,0.0785137764070557,74036584448.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,AON,Aon plc Class A Ordinary Shares (Ireland),0.08093883712564909,67259654144.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,TEL,TE Connectivity plc Ordinary Shares,0.07758363855375994,59920371712.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,RYAAY,"Ryanair Holdings plc - American Depositary Shares, each representing five Ordinary Shares",0.09498589770090293,27725066240.0,nasdaq_trader_symbol_directory
2026-05-04,Ireland,AIBGY,AIB Group plc,0.1366225441433101,24173443072.0,citi_dr_directory
2026-05-04,Israel,TEVA,Teva,0.12029500279624117,41162493952.0,builtin_major_adr_universe
2026-05-04,Israel,ESLT,Elbit Systems Ltd. - Ordinary Shares,0.03709670298536613,40105099264.0,nasdaq_trader_symbol_directory
2026-05-04,Israel,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,0.09832903066778009,25589778432.0,nasdaq_trader_symbol_directory
2026-05-04,Israel,NVMI,Nova Ltd. - Ordinary Shares,0.049444088071629935,15646439424.0,nasdaq_trader_symbol_directory
2026-05-04,Israel,ENLT,Enlight Renewable Energy Ltd. - Ordinary Shares,0.047881617341859306,12373090304.0,nasdaq_trader_symbol_directory
2026-05-04,Israel,CHKP,Check Point,0.08910401699342871,12185857024.0,builtin_major_adr_universe
2026-05-04,Israel,CAMT,Camtek Ltd. - Ordinary Shares,0.052699434898643704,8504896512.0,nasdaq_trader_symbol_directory
2026-05-04,Israel,NICE,NICE,0.10055496704031353,7258034688.0,builtin_major_adr_universe
2026-05-04,Israel,ICL,ICL,0.09607638751995429,7137420800.0,builtin_major_adr_universe
2026-05-04,Israel,GLBE,Global-E Online Ltd. - ordinary shares,0.09780470701776622,5442143744.0,nasdaq_trader_symbol_directory
2026-05-04,Italy,ISNPY,Intesa Sanpaolo,0.12971006797965628,114556174336.0,builtin_major_adr_universe
2026-05-04,Italy,ENLAY,Enel,0.07169905552069147,111735947264.0,builtin_major_adr_universe
2026-05-04,Italy,UNCRY,UniCredit SpA,0.1466243292603201,111501803520.0,citi_dr_directory
2026-05-04,Italy,E,Eni,0.08800172543891771,82631720960.0,builtin_major_adr_universe
2026-05-04,Italy,ARZGY,Assicurazioni Generali,0.08405801135313293,65285304320.0,citi_dr_directory
2026-05-04,Italy,RACE,Ferrari,0.04513343121376767,59786022912.0,builtin_major_adr_universe
2026-05-04,Italy,MONRY,Moncler SpA,0.07408900873845858,16249726976.0,citi_dr_directory
2026-05-04,Italy,PRDSY,Prada S.p.A.,0.10632779283606561,11781401600.0,citi_dr_directory
2026-05-04,Italy,BZZUY,Buzzi SpA,0.09206310216781227,9642047488.0,citi_dr_directory
2026-05-04,Japan,TM,Toyota,0.13958462407631267,222967037952.0,builtin_major_adr_universe
2026-05-04,Japan,SFTBY,SoftBank Group Corp.,0.010000000000000002,204585631744.0,citi_dr_directory
2026-05-04,Japan,MUFG,Mitsubishi UFJ,0.10307731313906199,198323077120.0,builtin_major_adr_universe
2026-05-04,Japan,FRCOY,Fast Retailing,0.037679003736578176,143048671232.0,citi_dr_directory
2026-05-04,Japan,HTHIY,Hitachi Limited,0.058005312717003474,136882765824.0,citi_dr_directory
2026-05-04,Japan,SMFG,Sumitomo Mitsui,0.11312308332636467,133566480384.0,builtin_major_adr_universe
2026-05-04,Japan,SONY,Sony,0.048192734767346646,116026589184.0,builtin_major_adr_universe
2026-05-04,Japan,MITSY,Mitsui & Co. Ltd,0.010000000000000002,103124762624.0,citi_dr_directory
2026-05-04,Japan,MFG,Mizuho,0.10189260023674385,102537945088.0,builtin_major_adr_universe
2026-05-04,Japan,TKOMY,"Tokio Marine Holdings, Inc.",0.06921866691053313,86081241088.0,citi_dr_directory
2026-05-04,Jersey,BMRRY,B&M European Value Retail plc,0.1481458181656542,2317327616.0,citi_dr_directory
2026-05-04,Jersey,CMCL,Caledonia Mining Corporation Plc Common Shares,0.12476160809192327,411560608.0,nasdaq_trader_symbol_directory
2026-05-04,Jersey,GAMB,Gambling.com Group Limited - Ordinary Shares,0.20707418460952598,140388768.0,nasdaq_trader_symbol_directory
2026-05-04,Jordan,IGIC,International General Insurance Holdings Ltd. - Ordinary Shares,0.08965568920388167,1065700096.0,nasdaq_trader_symbol_directory
2026-05-04,Kazakhstan,KSPI,JSC Kaspi.kz,0.4,16217232384.0,citi_dr_directory
2026-05-04,Korea,KEP,Korea Electric Power Corporation (KEPCO),0.010000000000000002,19361636352.0,citi_dr_directory
2026-05-04,Luxembourg,SPOT,Spotify,0.06818428973670107,90115047424.0,builtin_major_adr_universe
2026-05-04,Luxembourg,MT,ArcelorMittal,0.17962655025699836,42158759936.0,citi_dr_directory
2026-05-04,Luxembourg,TS,Tenaris S.A. American Depositary Shares,0.07168880226741836,31450277888.0,nasdaq_trader_symbol_directory
2026-05-04,Luxembourg,TIGO,Millicom International Cellular S.A. - Common Stock,0.0987966455275614,13998088192.0,nasdaq_trader_symbol_directory
2026-05-04,Luxembourg,TX,"Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares, USD1.00 par value)",0.18447660557624512,8394116096.0,nasdaq_trader_symbol_directory
2026-05-04,Luxembourg,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,0.13366024968596102,2354936320.0,nasdaq_trader_symbol_directory
2026-05-04,Luxembourg,AGRO,Adecoagro S.A. Common Shares,0.07508849315457333,2190602496.0,nasdaq_trader_symbol_directory
2026-05-04,Luxembourg,NEXA,Nexa Resources S.A. Common Shares,0.09433158888150206,2054122880.0,nasdaq_trader_symbol_directory
2026-05-04,Luxembourg,GLOB,Globant,0.11295919005012334,1734954624.0,builtin_major_adr_universe
2026-05-04,Luxembourg,OEC,Orion S.A. Common Shares,0.18258088527908345,442087008.0,nasdaq_trader_symbol_directory
2026-05-04,Mexico,AMX,America Movil,0.06151087142298739,79739428864.0,builtin_major_adr_universe
2026-05-04,Mexico,WMMVY,"Wal-Mart de Mexico, S.A. de C.V.",0.07493428040965189,53398347776.0,citi_dr_directory
2026-05-04,Mexico,FMX,Fomento Economico Mexicano,0.07093807551209041,40510435328.0,builtin_major_adr_universe
2026-05-04,Mexico,GBOOY,Grupo Financiero Banorte,0.4,30044020736.0,citi_dr_directory
2026-05-04,Mexico,KOF,Coca-Cola FEMSA,0.12304541988070306,21260423168.0,builtin_major_adr_universe
2026-05-04,Mexico,CX,Cemex,0.08627316538689456,17156705280.0,builtin_major_adr_universe
2026-05-04,Mexico,PAC,Grupo Aeroportuario del Pacifico,0.07709337839188912,12443467776.0,builtin_major_adr_universe
2026-05-04,Mexico,ASR,ASUR,0.10586761245133078,8975083520.0,builtin_major_adr_universe
2026-05-04,Mexico,VIST,"Vista Energy S.A.B. de C.V. American Depositary Shares, each representing one series A share, with no par value",0.4,7710461440.0,nasdaq_trader_symbol_directory
