ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,company,country_final,rank_in_country,ICC,mktcap,name_icc,sector_icc,weight_mktcap,country_region
VIV,Brazil,25532893184.0,Communication Services,Telefonica Brasil S.A.,EQUITY,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),N,nasdaq_trader_symbol_directories,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),Brazil,7,0.2477597215232462,25181378560.0,Telefonica Brasil S.A.,Communication Services,25181378560.0,Brazil
SBS,Brazil,24874418176.0,Utilities,Companhia de saneamento Basico ,EQUITY,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares),N,nasdaq_trader_symbol_directories,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares),Brazil,8,0.010000000000000002,118322716672.0,Companhia de saneamento Basico ,Utilities,118322716672.0,Brazil
TIMB,Brazil,12435407872.0,Communication Services,TIM S.A.,EQUITY,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,N,nasdaq_trader_symbol_directories,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,Brazil,9,0.09785862757935121,12368524288.0,TIM S.A.,Communication Services,12368524288.0,Brazil
SUZ,Brazil,11557506048.0,Basic Materials,Suzano S.A.,EQUITY,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),N,nasdaq_trader_symbol_directories,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),Brazil,10,0.08192888001511112,10568628224.0,Suzano S.A.,Basic Materials,10568628224.0,Brazil
NICM,Canada,129013272.0,Basic Materials,Nicola Mining Inc.,EQUITY,Nicola Mining Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Nicola Mining Inc. - American Depositary Shares,Canada,1,,,,,129013272.0,Canada
ANL,Cayman Islands,791380928.0,Healthcare,Adlai Nortye Ltd.,EQUITY,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Adlai Nortye Ltd. - American Depositary Shares,Cayman Islands,1,,,,,791380928.0,Cayman Islands
BCH,Chile,19072024576.0,Financial Services,Banco De Chile,EQUITY,Banco De Chile ADS,N,nasdaq_trader_symbol_directories,Banco De Chile ADS,Chile,1,0.10025263955089392,18359853056.0,Banco De Chile,Financial Services,18359853056.0,Chile
BSAC,Chile,15754095616.0,Financial Services,Banco Santander - Chile,EQUITY,Banco Santander - Chile ADS,N,nasdaq_trader_symbol_directories,Banco Santander - Chile ADS,Chile,2,0.13177635014586125,14420840448.0,Banco Santander - Chile,Financial Services,14420840448.0,Chile
LTM,Chile,14719164416.0,Industrials,LATAM Airlines Group S.A.,EQUITY,"LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2,000) shares of Common Stock)",N,nasdaq_trader_symbol_directories,"LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2,000) shares of Common Stock)",Chile,3,0.20771982596776162,13249590272.0,LATAM Airlines Group S.A.,Industrials,13249590272.0,Chile
ENIC,Chile,6238823936.0,Utilities,Enel Chile S.A.,EQUITY,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),N,nasdaq_trader_symbol_directories,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),Chile,4,0.4,6141990400.0,Enel Chile S.A.,Utilities,6141990400.0,Chile
