date,yyyymm,universe,n_items,download_path
2026-01-30,202601,usall,2684,./data/downloads/raw/202601/icc_live_usall_2026_0130_r1.csv
2026-02-03,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0203_r1.csv
2026-02-03,202602,usall,2679,./data/downloads/raw/202602/icc_live_usall_2026_0203_r1.csv
2026-02-04,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0204_r1.csv
2026-02-04,202602,usall,2679,./data/downloads/raw/202602/icc_live_usall_2026_0204_r1.csv
2026-02-05,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0205_r1.csv
2026-02-05,202602,usall,2680,./data/downloads/raw/202602/icc_live_usall_2026_0205_r1.csv
2026-02-06,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0206_r1.csv
2026-02-06,202602,usall,2678,./data/downloads/raw/202602/icc_live_usall_2026_0206_r1.csv
2026-02-09,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0209_r1.csv
2026-02-09,202602,usall,2675,./data/downloads/raw/202602/icc_live_usall_2026_0209_r1.csv
2026-02-10,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0210_r1.csv
2026-02-10,202602,usall,2677,./data/downloads/raw/202602/icc_live_usall_2026_0210_r1.csv
2026-02-11,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0211_r1.csv
2026-02-11,202602,usall,2670,./data/downloads/raw/202602/icc_live_usall_2026_0211_r1.csv
2026-02-12,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0212_r1.csv
2026-02-12,202602,usall,2670,./data/downloads/raw/202602/icc_live_usall_2026_0212_r1.csv
2026-02-13,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0213_r1.csv
2026-02-13,202602,usall,2671,./data/downloads/raw/202602/icc_live_usall_2026_0213_r1.csv
2026-02-16,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0216_r1.csv
2026-02-16,202602,usall,2667,./data/downloads/raw/202602/icc_live_usall_2026_0216_r1.csv
2026-02-17,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0217_r1.csv
2026-02-17,202602,usall,2669,./data/downloads/raw/202602/icc_live_usall_2026_0217_r1.csv
2026-02-18,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0218_r1.csv
2026-02-18,202602,usall,2674,./data/downloads/raw/202602/icc_live_usall_2026_0218_r1.csv
2026-02-19,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0219_r1.csv
2026-02-19,202602,usall,2677,./data/downloads/raw/202602/icc_live_usall_2026_0219_r1.csv
2026-02-20,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0220_r1.csv
2026-02-20,202602,usall,2680,./data/downloads/raw/202602/icc_live_usall_2026_0220_r1.csv
2026-02-23,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0223_r1.csv
2026-02-23,202602,usall,2675,./data/downloads/raw/202602/icc_live_usall_2026_0223_r1.csv
2026-02-24,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0224_r1.csv
2026-02-24,202602,usall,2677,./data/downloads/raw/202602/icc_live_usall_2026_0224_r1.csv
2026-02-25,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0225_r1.csv
2026-02-25,202602,usall,2681,./data/downloads/raw/202602/icc_live_usall_2026_0225_r1.csv
2026-02-26,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0226_r1.csv
2026-02-26,202602,usall,2684,./data/downloads/raw/202602/icc_live_usall_2026_0226_r1.csv
2026-02-27,202602,sp500,496,./data/downloads/raw/202602/icc_live_sp500_2026_0227_r1.csv
2026-02-27,202602,usall,2686,./data/downloads/raw/202602/icc_live_usall_2026_0227_r1.csv
2026-03-02,202603,sp500,495,./data/downloads/raw/202603/icc_live_sp500_2026_0302_r1.csv
2026-03-02,202603,usall,2686,./data/downloads/raw/202603/icc_live_usall_2026_0302_r1.csv
2026-03-03,202603,sp500,495,./data/downloads/raw/202603/icc_live_sp500_2026_0303_r1.csv
2026-03-03,202603,usall,2685,./data/downloads/raw/202603/icc_live_usall_2026_0303_r1.csv
2026-03-04,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0304_r1.csv
2026-03-04,202603,usall,2684,./data/downloads/raw/202603/icc_live_usall_2026_0304_r1.csv
2026-03-05,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0305_r1.csv
2026-03-05,202603,usall,2689,./data/downloads/raw/202603/icc_live_usall_2026_0305_r1.csv
2026-03-06,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0306_r1.csv
2026-03-06,202603,usall,2691,./data/downloads/raw/202603/icc_live_usall_2026_0306_r1.csv
2026-03-09,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0309_r1.csv
2026-03-09,202603,usall,2692,./data/downloads/raw/202603/icc_live_usall_2026_0309_r1.csv
2026-03-10,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0310_r1.csv
2026-03-10,202603,usall,2694,./data/downloads/raw/202603/icc_live_usall_2026_0310_r1.csv
2026-03-11,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0311_r1.csv
2026-03-11,202603,usall,2696,./data/downloads/raw/202603/icc_live_usall_2026_0311_r1.csv
2026-03-12,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0312_r1.csv
2026-03-12,202603,usall,2696,./data/downloads/raw/202603/icc_live_usall_2026_0312_r1.csv
2026-03-13,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0313_r1.csv
2026-03-13,202603,usall,2700,./data/downloads/raw/202603/icc_live_usall_2026_0313_r1.csv
2026-03-16,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0316_r1.csv
2026-03-16,202603,usall,2700,./data/downloads/raw/202603/icc_live_usall_2026_0316_r1.csv
2026-03-17,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0317_r1.csv
2026-03-17,202603,usall,2703,./data/downloads/raw/202603/icc_live_usall_2026_0317_r1.csv
2026-03-18,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0318_r1.csv
2026-03-18,202603,usall,2708,./data/downloads/raw/202603/icc_live_usall_2026_0318_r1.csv
2026-03-19,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0319_r1.csv
2026-03-19,202603,usall,2709,./data/downloads/raw/202603/icc_live_usall_2026_0319_r1.csv
2026-03-20,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0320_r1.csv
2026-03-20,202603,usall,2711,./data/downloads/raw/202603/icc_live_usall_2026_0320_r1.csv
2026-03-23,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0323_r1.csv
2026-03-23,202603,usall,2709,./data/downloads/raw/202603/icc_live_usall_2026_0323_r1.csv
2026-03-24,202603,sp500,501,./data/downloads/raw/202603/icc_live_sp500_2026_0324_r1.csv
2026-03-24,202603,usall,2708,./data/downloads/raw/202603/icc_live_usall_2026_0324_r1.csv
2026-03-25,202603,sp500,500,./data/downloads/raw/202603/icc_live_sp500_2026_0325_r1.csv
2026-03-25,202603,usall,2711,./data/downloads/raw/202603/icc_live_usall_2026_0325_r1.csv
2026-03-26,202603,sp500,500,./data/downloads/raw/202603/icc_live_sp500_2026_0326_r1.csv
2026-03-26,202603,usall,2719,./data/downloads/raw/202603/icc_live_usall_2026_0326_r1.csv
2026-03-27,202603,sp500,500,./data/downloads/raw/202603/icc_live_sp500_2026_0327_r1.csv
2026-03-27,202603,usall,2721,./data/downloads/raw/202603/icc_live_usall_2026_0327_r1.csv
2026-03-30,202603,sp500,500,./data/downloads/raw/202603/icc_live_sp500_2026_0330_r1.csv
2026-03-30,202603,usall,2721,./data/downloads/raw/202603/icc_live_usall_2026_0330_r1.csv
2026-03-31,202603,sp500,500,./data/downloads/raw/202603/icc_live_sp500_2026_0331_r1.csv
2026-03-31,202603,usall,2721,./data/downloads/raw/202603/icc_live_usall_2026_0331_r1.csv
2026-04-01,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0401_r1.csv
2026-04-01,202604,usall,2729,./data/downloads/raw/202604/icc_live_usall_2026_0401_r1.csv
2026-04-02,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0402_r1.csv
2026-04-02,202604,usall,2728,./data/downloads/raw/202604/icc_live_usall_2026_0402_r1.csv
2026-04-03,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0403_r1.csv
2026-04-03,202604,usall,2724,./data/downloads/raw/202604/icc_live_usall_2026_0403_r1.csv
2026-04-06,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0406_r1.csv
2026-04-06,202604,usall,2726,./data/downloads/raw/202604/icc_live_usall_2026_0406_r1.csv
2026-04-07,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0407_r1.csv
2026-04-07,202604,usall,2726,./data/downloads/raw/202604/icc_live_usall_2026_0407_r1.csv
2026-04-08,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0408_r1.csv
2026-04-08,202604,usall,2724,./data/downloads/raw/202604/icc_live_usall_2026_0408_r1.csv
2026-04-09,202604,sp500,499,./data/downloads/raw/202604/icc_live_sp500_2026_0409_r1.csv
2026-04-09,202604,usall,2726,./data/downloads/raw/202604/icc_live_usall_2026_0409_r1.csv
2026-04-10,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0410_r1.csv
2026-04-10,202604,usall,2721,./data/downloads/raw/202604/icc_live_usall_2026_0410_r1.csv
2026-04-13,202604,sp500,500,./data/downloads/raw/202604/icc_live_sp500_2026_0413_r3.csv
2026-04-13,202604,usall,2719,./data/downloads/raw/202604/icc_live_usall_2026_0413_r2.csv
2026-04-14,202604,dow30,30,./data/downloads/raw/202604/icc_live_dow30_2026_0414.csv
2026-04-14,202604,ndx100,100,./data/downloads/raw/202604/icc_live_ndx100_2026_0414.csv
