ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
EBAY,ok,True,True,True,True,True,forecast_icc,,51193200640.0
ECHO,failed,True,True,False,False,False,,missing_positive_eps,24312455168.0
ECL,ok,True,True,True,True,True,forecast_icc,,79843819520.0
EIX,ok,True,False,True,True,True,forecast_icc,,
EW,ok,True,True,True,True,True,forecast_icc,,49380610048.0
EA,ok,True,False,True,True,True,forecast_icc,,
ELV,ok,True,True,True,True,True,forecast_icc,,81538523136.0
EME,ok,True,True,True,True,True,forecast_icc,,29947260928.0
EMR,ok,True,True,True,True,True,forecast_icc,,81623367680.0
ETR,ok,True,True,True,True,True,forecast_icc,,50294288384.0
EOG,ok,True,True,True,True,True,forecast_icc,,77731807232.0
EQT,ok,True,True,True,True,True,forecast_icc,,32883378176.0
EFX,ok,True,True,True,True,True,forecast_icc,,21975549952.0
EQIX,ok,True,True,True,True,True,forecast_icc,,99415220224.0
EQR,ok,True,False,True,True,True,forecast_icc,,
ERIE,ok,True,True,True,True,True,forecast_icc,,12996646912.0
ESS,ok,True,True,True,True,True,forecast_icc,,20457293824.0
EL,ok,True,False,True,False,True,forecast_icc,,
EG,ok,True,True,True,True,True,forecast_icc,,15586857984.0
EVRG,ok,True,True,True,True,True,forecast_icc,,19363094528.0
ES,ok,True,True,True,True,True,forecast_icc,,28115744768.0
EXC,ok,True,False,True,True,True,forecast_icc,,
EXE,ok,True,False,True,True,True,forecast_icc,,
EXPE,ok,True,True,True,True,True,forecast_icc,,36519116800.0
EXPD,ok,True,True,True,True,True,forecast_icc,,22251497472.0
EXR,ok,True,True,True,True,True,forecast_icc,,33733066752.0
XOM,ok,True,False,True,True,True,forecast_icc,,
FFIV,ok,True,True,True,True,True,forecast_icc,,21988820992.0
FDS,ok,True,True,True,True,True,forecast_icc,,10030906368.0
FICO,ok,True,True,True,True,True,forecast_icc,,31842967552.0
FAST,ok,True,True,True,True,True,forecast_icc,,54827433984.0
FRT,ok,True,True,True,True,True,forecast_icc,,10932596736.0
FDX,ok,True,True,True,True,True,forecast_icc,,73011314688.0
FDXF,ok,True,True,True,True,True,forecast_icc,,21496092672.0
FIS,ok,True,True,True,True,True,forecast_icc,,24195112960.0
FITB,ok,True,True,True,True,True,forecast_icc,,51284832256.0
FSLR,ok,True,True,True,True,True,forecast_icc,,21409007616.0
FE,ok,True,True,True,True,True,forecast_icc,,28418324480.0
FISV,ok,True,True,True,False,True,forecast_icc,,29664919552.0
FLEX,ok,True,True,True,True,True,forecast_icc,,37745451008.0
F,ok,True,False,True,False,True,forecast_icc,,
FTNT,ok,True,True,True,True,True,forecast_icc,,112256385024.0
