date,family,group,daily_icc,ew_icc,n_firms,method,source_file
2025-11-07,industry,Energy,0.09751055132992383,0.12257934613725513,185,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Financial Services,0.08661425329669141,0.11927033753613224,624,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Healthcare,0.08250453365891995,0.0904161258387415,310,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Industrials,0.06699419189259417,0.09398965938790978,433,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Real Estate,0.07033583129247728,0.09612006043007437,183,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Technology,0.06873373899714284,0.08477651943901589,486,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Utilities,0.08035511768102527,0.09421667071037132,91,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-10,industry,Basic Materials,0.09449582743607746,0.11911832598371505,159,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Communication Services,0.060851972302763964,0.11887171077415971,159,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Consumer Cyclical,0.07977621116043568,0.11226709494634785,391,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Consumer Defensive,0.06767280081910271,0.10998059585577002,156,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Energy,0.09648280522455556,0.12051785897684618,186,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Financial Services,0.08617593761579023,0.11838952842311733,625,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Healthcare,0.0815694603840132,0.08878275579933508,312,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Industrials,0.06659716484070792,0.09260003815160828,434,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Real Estate,0.06812705802658814,0.09467195311935778,181,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Technology,0.0678587281770308,0.08395741421515027,486,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-10,industry,Utilities,0.08299145745608047,0.09256774941092376,91,ICC calculation,data/202511/icc_live_usall_2025_1110.csv
2025-11-11,industry,Basic Materials,0.09466040147732002,0.11911962414986517,159,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Communication Services,0.06077288424771227,0.11858894102068106,159,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Consumer Cyclical,0.08362949746609798,0.11224689680219047,391,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Consumer Defensive,0.06694555546469257,0.10909812368282176,157,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Energy,0.09599495529872777,0.12096429121155933,186,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Financial Services,0.0857469956044617,0.1180554644632251,625,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Healthcare,0.0801328921399274,0.088938290548903,310,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Industrials,0.06659362053643764,0.09315236741596812,434,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Real Estate,0.06665956195633525,0.09339350707485118,181,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Technology,0.06814564631582806,0.08386454485466545,487,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-11,industry,Utilities,0.07914452603577402,0.09035368954369359,89,ICC calculation,data/202511/icc_live_usall_2025_1111.csv
2025-11-12,industry,Basic Materials,0.09390468407991108,0.11769792032467151,159,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Communication Services,0.06136471439555252,0.11906205732078824,159,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Consumer Cyclical,0.08040119247933036,0.11106628493190539,391,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Consumer Defensive,0.06701128490009503,0.10690168907829078,157,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Energy,0.09788156726163043,0.12398619012723562,186,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Financial Services,0.08677483956972394,0.11858103946830545,625,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
2025-11-12,industry,Healthcare,0.07955574088398634,0.08950697933774766,311,ICC calculation,data/202511/icc_live_usall_2025_1112.csv
