etf,symbol,weight,matched,constituent_icc,holding_source
SPY,MDLZ,0.0020093852324140266,True,0.0778262874756904,spdr_full_holdings
SPY,MAR,0.0019941990045907344,True,0.0541910561478392,spdr_full_holdings
SPY,CRH,0.0019856230659139073,True,0.0785137764070557,spdr_full_holdings
SPY,EMR,0.001978220176150361,True,0.0666663295758492,spdr_full_holdings
SPY,MPWR,0.0019722915235345874,True,0.0478564082533981,spdr_full_holdings
SPY,NOC,0.0019370683521114616,True,0.0627624866853545,spdr_full_holdings
SPY,EOG,0.0019261780196327546,True,0.0753896557546,spdr_full_holdings
SPY,CIEN,0.0019252586029169395,True,0.0526997784603172,spdr_full_holdings
SPY,VLO,0.0019234990295470173,True,0.0723209927492481,spdr_full_holdings
SPY,MMM,0.0019171423725980194,True,0.0763693947029592,spdr_full_holdings
SPY,CI,0.0019036047540582583,True,0.1124233592982114,spdr_full_holdings
SPY,NXPI,0.0019009099119601794,False,,spdr_full_holdings
SPY,AEP,0.001894394734887765,True,0.0652685107937307,spdr_full_holdings
SPY,ROST,0.0018904000277776716,False,,spdr_full_holdings
SPY,SHW,0.00188120586061952,True,0.0612168759769191,spdr_full_holdings
SPY,HLT,0.0018656867405370539,True,0.0528336708654598,spdr_full_holdings
SPY,MPC,0.0018548598161077135,True,0.0635055420999098,spdr_full_holdings
SPY,MSI,0.0018443499319252055,True,0.0525300095607293,spdr_full_holdings
SPY,KKR,0.0018261359697446604,True,0.1101649660123237,spdr_full_holdings
SPY,NSC,0.0018191610843143386,True,0.0615026149938292,spdr_full_holdings
SPY,PSX,0.001817242990821,True,0.0667130266627404,spdr_full_holdings
SPY,REGN,0.0018141359964020385,False,,spdr_full_holdings
SPY,CL,0.0018048625691821788,True,0.0566100079194273,spdr_full_holdings
SPY,MCO,0.001794352684999671,True,0.0561364506187826,spdr_full_holdings
SPY,GM,0.0017493329699494115,True,0.1340155442874396,spdr_full_holdings
SPY,BKR,0.0017485403693323295,True,0.0764245255215835,spdr_full_holdings
SPY,LITE,0.0017358904634837003,True,0.085250942741542,spdr_full_holdings
SPY,HCA,0.0017318164963118987,True,0.0801894631080742,spdr_full_holdings
SPY,APD,0.0017196580028458603,True,0.060143421374767,spdr_full_holdings
SPY,WBD,0.0017132062338228126,False,,spdr_full_holdings
SPY,ITW,0.0017114308084405488,True,0.0601116712882293,spdr_full_holdings
SPY,AON,0.0017067227607750815,True,0.080938837125649,spdr_full_holdings
SPY,RCL,0.0017062313483924905,True,0.0973635264541167,spdr_full_holdings
SPY,ECL,0.001693200994247662,True,0.0588877221694418,spdr_full_holdings
SPY,DASH,0.0016865907051011979,True,0.1170692522471944,spdr_full_holdings
SPY,FIX,0.0016833410425711615,True,0.0542222013950434,spdr_full_holdings
SPY,TRV,0.0016828654822009124,True,0.0674134857193341,spdr_full_holdings
SPY,SPG,0.0016812168729173817,True,0.0446355429657848,spdr_full_holdings
SPY,TDG,0.0016671402859580048,True,0.0611091266063755,spdr_full_holdings
SPY,DLR,0.001662987058724495,True,0.0182693313100458,spdr_full_holdings
SPY,TFC,0.0016415709900509383,True,0.1210973664762083,spdr_full_holdings
SPY,KMI,0.0016174283752546197,True,0.0568950188594626,spdr_full_holdings
SPY,DELL,0.001594125917112408,True,0.0860999391914852,spdr_full_holdings
SPY,SRE,0.0015831087685349678,True,0.0714515909548556,spdr_full_holdings
SPY,COHR,0.0015802871103381558,True,0.0727029296534041,spdr_full_holdings
SPY,PCAR,0.0015619304800465357,False,,spdr_full_holdings
SPY,APO,0.0015543532181472317,True,0.1110813731302725,spdr_full_holdings
SPY,TEL,0.0015542581060731817,True,0.0775836385537599,spdr_full_holdings
SPY,KEYS,0.0015430190293229584,True,0.0480096579811345,spdr_full_holdings
SPY,ABNB,0.0015318750646467851,True,0.0619437318846778,spdr_full_holdings
SPY,URI,0.0015266439005740438,True,0.0767685992467089,spdr_full_holdings
SPY,AZO,0.0015224272652911673,True,0.0722201564652963,spdr_full_holdings
SPY,COR,0.001512519757577642,True,0.0748419409850252,spdr_full_holdings
SPY,O,0.0015062265086780108,True,0.0476664879379097,spdr_full_holdings
SPY,LHX,0.0015016452771112764,True,0.071961069586471,spdr_full_holdings
SPY,TGT,0.0014897721198673876,True,0.0752459651205373,spdr_full_holdings
SPY,HOOD,0.0014866492734360846,True,0.0736903271449099,spdr_full_holdings
SPY,CTAS,0.001472287350254558,True,0.0477058828681344,spdr_full_holdings
SPY,ALL,0.00143752388718934,True,0.0836248233095428,spdr_full_holdings
SPY,OKE,0.0014368739546833328,True,0.0884634025151797,spdr_full_holdings
SPY,MNST,0.0014103376860234264,True,0.0488772720968889,spdr_full_holdings
SPY,FTNT,0.0013997009857421856,True,0.0488735736473516,spdr_full_holdings
SPY,D,0.0013974341479773308,True,0.0730007501452695,spdr_full_holdings
SPY,TRGP,0.0013956745746074087,True,0.0614677289073927,spdr_full_holdings
SPY,CVNA,0.0013884619089919623,True,0.0602651771226795,spdr_full_holdings
SPY,TER,0.0013882082767944961,False,,spdr_full_holdings
SPY,CTVA,0.0013880497566710797,True,0.0373588171129607,spdr_full_holdings
SPY,AJG,0.0013693602341202855,True,0.0843299796822026,spdr_full_holdings
SPY,AME,0.0013615768960605398,True,0.0464937809899417,spdr_full_holdings
SPY,NKE,0.0013519230205444805,True,0.098229853734968,spdr_full_holdings
SPY,CARR,0.0013510987159027154,True,0.0720382022650599,spdr_full_holdings
SPY,ETR,0.0013472625289160382,True,0.0679946409198906,spdr_full_holdings
SPY,AFL,0.0013450908032252335,True,0.0754212866890634,spdr_full_holdings
SPY,FAST,0.0013226285017371286,True,0.0480116918630301,spdr_full_holdings
SPY,NUE,0.0013225016856383957,True,0.0707826925180857,spdr_full_holdings
SPY,ADSK,0.001322311461490296,True,0.0705056722735095,spdr_full_holdings
SPY,MCHP,0.0013049059519391745,True,0.1453246295268208,spdr_full_holdings
SPY,GWW,0.001289133199659242,True,0.0571109062650336,spdr_full_holdings
SPY,VST,0.001269191368133458,True,0.1040308464790474,spdr_full_holdings
SPY,XEL,0.0012528954994462515,False,,spdr_full_holdings
SPY,EW,0.0012505335496073471,True,0.0531636495728454,spdr_full_holdings
