date,family,label,value,method,n_firms,yyyymm,year
2026-02-18,Basic Materials,Basic Materials,0.09335384561214521,ICC calculation,162.0,202602,2026
2026-02-18,Communication Services,Communication Services,0.07237434326799994,ICC calculation,120.0,202602,2026
2026-02-18,Consumer Cyclical,Consumer Cyclical,0.09514384878233477,ICC calculation,329.0,202602,2026
2026-02-18,Consumer Defensive,Consumer Defensive,0.06942866898543462,ICC calculation,132.0,202602,2026
2026-02-18,Energy,Energy,0.10183294437162817,ICC calculation,180.0,202602,2026
2026-02-18,Financial Services,Financial Services,0.08958426225452908,ICC calculation,513.0,202602,2026
2026-02-18,Healthcare,Healthcare,0.08646312286607828,ICC calculation,251.0,202602,2026
2026-02-18,Industrials,Industrials,0.06633317069460436,ICC calculation,376.0,202602,2026
2026-02-18,Real Estate,Real Estate,0.06479170870258374,ICC calculation,165.0,202602,2026
2026-02-18,Technology,Technology,0.07347340623726963,ICC calculation,364.0,202602,2026
2026-02-18,Utilities,Utilities,0.08140440223900225,ICC calculation,80.0,202602,2026
2026-02-19,Basic Materials,Basic Materials,0.0849222624929996,ICC calculation,163.0,202602,2026
2026-02-19,Communication Services,Communication Services,0.07234031290950423,ICC calculation,120.0,202602,2026
2026-02-19,Consumer Cyclical,Consumer Cyclical,0.09622544475166031,ICC calculation,329.0,202602,2026
2026-02-19,Consumer Defensive,Consumer Defensive,0.07019949663100622,ICC calculation,132.0,202602,2026
2026-02-19,Energy,Energy,0.10136059407931154,ICC calculation,180.0,202602,2026
2026-02-19,Financial Services,Financial Services,0.08995204877320526,ICC calculation,513.0,202602,2026
2026-02-19,Healthcare,Healthcare,0.08596490078830275,ICC calculation,252.0,202602,2026
2026-02-19,Industrials,Industrials,0.06583741333255536,ICC calculation,376.0,202602,2026
2026-02-19,Real Estate,Real Estate,0.06589023875039395,ICC calculation,166.0,202602,2026
2026-02-19,Technology,Technology,0.07385222492830469,ICC calculation,364.0,202602,2026
2026-02-19,Utilities,Utilities,0.08145557721089215,ICC calculation,80.0,202602,2026
2026-02-20,Basic Materials,Basic Materials,0.08027282926625864,ICC calculation,165.0,202602,2026
2026-02-20,Communication Services,Communication Services,0.07113895736233604,ICC calculation,121.0,202602,2026
2026-02-20,Consumer Cyclical,Consumer Cyclical,0.09546760831981414,ICC calculation,329.0,202602,2026
